Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2021-08-03,5342733463.46,21.1257,21.1258,21.1257,-0.0459
2021-08-04,5373160679.35,21.2353,21.2354,21.2353,0.1096
2021-08-05,5443075905.08,21.4776,21.4777,21.4776,0.2423
2021-08-06,5468324024.58,21.5423,21.5424,21.5423,0.0647
2021-08-09,5469717744.92,21.5223,21.5224,21.5223,-0.02
2021-08-10,5433468987.88,21.3614,21.3615,21.3614,-0.1609
2021-08-11,5417675808.66,21.2687,21.2688,21.2687,-0.0927
2021-08-13,5421636260.52,21.2667,21.2668,21.2667,-0.002
2021-08-16,5402111415.9,21.1519,21.152,21.1519,-0.1148
2021-08-17,5355449755.17,20.9282,20.9283,20.9282,-0.2237
2021-08-18,5391622738.83,21.0227,21.0228,21.0227,0.0945
2021-08-19,5369256076.51,20.9147,20.9148,20.9147,-0.108
2021-08-20,5389999385.47,20.9651,20.9652,20.9651,0.0504
2021-08-23,5478335855.89,21.3083,21.3084,21.3083,0.3432
2021-08-24,5480400483.95,21.3021,21.3022,21.3021,-0.0062
2021-08-25,5463166238.61,21.2137,21.2138,21.2137,-0.0884
2021-08-26,5468959780.56,21.2039,21.204,21.2039,-0.0098
2021-08-27,5498820784.51,21.2894,21.2895,21.2894,0.0855
2021-08-30,5502656503.93,21.2789,21.279,21.2789,-0.0105
2021-08-31,5498722627.5,21.2208,21.2209,21.2208,-0.0581
2021-09-01,5534394760.04,21.3311,21.3312,21.3311,0.1103
2021-09-02,5549689059.87,21.3527,21.3528,21.3527,0.0216
2021-09-03,5580290453.82,21.4454,21.4455,21.4454,0.0927
2021-09-07,5581860781.95,21.4176,21.4177,21.4176,0.0157
2021-09-08,5564034585.48,21.3122,21.3123,21.3122,-0.1054
2021-09-09,5583784426.16,21.3563,21.3564,21.3563,0.0441
2021-09-10,5559827041.43,21.2473,21.2474,21.2473,-0.109
2021-09-13,5567300332.06,21.2584,21.2585,21.2584,0.0111
2021-09-14,5599024796.22,21.3582,21.3583,21.3582,0.0998
2021-09-15,5561243768.76,21.2051,21.2052,21.2051,-0.1531
2021-09-16,5592032933.06,21.313,21.3131,21.313,0.1079
2021-09-17,5592718563.59,21.3081,21.3082,21.3081,-0.0049
2021-09-20,5496528325.06,20.933,20.9331,20.933,-0.3751
2021-09-21,5542886071.27,21.0997,21.0998,21.0997,0.1667
2021-09-22,5606852900.68,21.32,21.3201,21.32,0.2203
2021-09-23,5656242091.56,21.4983,21.4984,21.4983,0.1783
2021-09-27,5705734095.94,21.6542,21.6543,21.6542,0.1559
2021-09-28,5624335819.63,21.2995,21.2996,21.2995,-0.3547
2021-09-29,5607864569.48,21.2225,21.2226,21.2225,-0.077
2021-09-30,5594725154.69,21.1213,21.1214,21.1213,-0.1012
2021-10-01,5584607614.04,21.0433,21.0434,21.0433,-0.078
2021-10-04,5543939318.38,20.8471,20.8472,20.8471,-0.1962
2021-10-05,5623324242.03,21.1208,21.1209,21.1208,0.2737
2021-10-06,5609740172.1,21.0613,21.0614,21.0613,-0.0595
2021-10-07,5717313956.07,21.451,21.4511,21.451,0.3897
2021-10-08,5694337731.84,21.3497,21.3498,21.3497,-0.1013
2021-10-11,5731252863.4,21.4562,21.4563,21.4562,0.1065
2021-10-12,5619941426.6,21.0103,21.0104,21.0103,-0.4459
2021-10-14,5693077311.48,21.2737,21.2738,21.2737,0.2634
2021-10-15,5754111964.29,21.4813,21.4814,21.4813,0.2076
2021-10-18,5802265071.16,21.631,21.6311,21.631,0.1497
2021-10-19,5832340712.05,21.7246,21.7247,21.7246,0.0936
2021-10-20,5854407256.36,21.7752,21.7753,21.7752,0.0506
2021-10-21,5834970079.06,21.6861,21.6862,21.6861,-0.0891
2021-10-25,5813247999.3,21.5757,21.5758,21.5757,-0.1104
2021-10-26,5839016224.12,21.5933,21.5934,21.5933,0.0176
2021-10-27,5832618583.51,21.5117,21.5118,21.5117,-0.0816
2021-10-28,5875621755.97,21.6374,21.6375,21.6374,0.1257
2021-10-29,5853121804.89,21.5119,21.512,21.5119,-0.1255
2021-11-01,5925980203.42,21.7367,21.7368,21.7367,0.2248
2021-11-02,5927876840.31,21.7082,21.7083,21.7082,-0.0285
2021-11-03,5947040341.69,21.7447,21.7448,21.7447,0.0365
2021-11-04,6035130133.84,22.0257,22.0258,22.0257,0.281
2021-11-05,6090867332.94,22.1879,22.188,22.1879,0.1622
2021-11-08,6073706688.86,22.0833,22.0834,22.0833,-0.1046
2021-11-09,6039255268.54,21.9254,21.9255,21.9254,-0.1579
2021-11-10,6033271420.82,21.8677,21.8678,21.8677,-0.0577
2021-11-11,6048417726.14,21.8617,21.8618,21.8617,-0.006
2021-11-12,6104322482.2,21.9875,21.9876,21.9875,0.1258
2021-11-15,6090480347.11,21.8794,21.8795,21.8794,-0.1081
2021-11-16,6118431218.59,21.9031,21.9032,21.9031,0.0237
2021-11-17,6122438183.19,21.8677,21.8678,21.8677,-0.0354
2021-11-18,6078879525.28,21.6727,21.6728,21.6727,-0.195
2021-11-19,6125070278.01,21.7967,21.7968,21.7967,0.124
2021-11-22,6109531460.13,21.6842,21.6843,21.6842,-0.1125
2021-11-23,6073880601.5,21.5079,21.508,21.5079,-0.1763
2021-11-24,6144699074.38,21.7088,21.7089,21.7088,0.2009
2021-11-26,6064773216.98,21.3775,21.3776,21.3775,-0.4137
2021-11-29,6193152015.43,21.6923,21.6924,21.6923,0.3148
2021-11-30,6131975162.57,21.3915,21.3916,21.3915,-0.3008
2021-12-01,6291947242.23,21.8198,21.8199,21.8198,0.4283
2021-12-02,6238711404.22,21.5558,21.5559,21.5558,-0.264
2021-12-03,6162791933.91,21.2293,21.2294,21.2293,-0.3265
2021-12-07,6437545848.24,22.0923,22.0924,22.0923,0.863
2021-12-08,6417700666.83,21.9259,21.926,21.9259,-0.1664
2021-12-09,6431780677.07,21.8736,21.8737,21.8736,-0.0523
2021-12-13,6383594147.15,21.6307,21.6308,21.6307,-0.2429
2021-12-14,6338006133.51,21.3402,21.3403,21.3402,-0.2905
2021-12-15,6352992830.77,21.2704,21.2705,21.2704,-0.0698
2021-12-16,6484012603.2,21.561,21.5611,21.561,0.2906
2021-12-17,6462664258.0,21.3734,21.3735,21.3734,-0.1876
2021-12-20,6435466291.38,21.1478,21.1479,21.1478,-0.2256
2021-12-21,6626508957.84,21.591,21.5911,21.591,0.4432
2021-12-22,6777565342.2,21.9175,21.9176,21.9175,0.3265
2021-12-23,6845649640.4,21.9844,21.9845,21.9844,0.0669
2021-12-27,6947335282.98,22.133,22.1331,22.133,0.2302
2021-12-28,7187032800.43,22.1994,22.1995,22.1994,0.0664
2021-12-29,7310969575.64,22.1307,22.1308,22.1307,-0.0687
2021-12-30,7523057359.95,22.1416,22.1417,22.1416,0.0109
2022-01-04,7668923951.86,21.9971,21.9972,21.9971,-0.1445
2022-01-05,7690444446.18,22.0184,22.0185,22.0184,0.0213
2022-01-06,7641770136.27,21.8463,21.8464,21.8463,-0.1721
2022-01-07,7618612091.15,21.777,21.7771,21.777,-0.0693
2022-01-10,7478865544.41,21.384,21.3841,21.384,-0.393
2022-01-11,7623313932.31,21.7919,21.792,21.7919,0.4079
2022-01-12,7676847398.25,21.9406,21.9407,21.9406,0.1487
2022-01-13,7659181767.0,21.88,21.8801,21.88,-0.0606
